qvalue_cutoff	neg_log10_qvalue_threshold	n_peaks_passing
1e-1	1	16936
1e-2	2	16936
1e-3	3	11251
1e-4	4	4509
1e-5	5	2418
1e-6	6	1190
1e-7	7	595
1e-8	8	277
1e-9	9	126
1e-10	10	57
1e-11	11	25
1e-12	12	18
1e-13	13	7
1e-14	14	5
1e-15	15	4
1e-16	16	3
1e-17	17	3
1e-18	18	2
1e-19	19	2
1e-20	20	2
1e-21	21	2
1e-22	22	2
1e-23	23	2
1e-24	24	1
1e-25	25	1
1e-26	26	1
1e-27	27	1
1e-28	28	1
1e-29	29	1
1e-30	30	1
