qvalue_cutoff	neg_log10_qvalue_threshold	n_peaks_passing
1e-1	1	39934
1e-2	2	39934
1e-3	3	23921
1e-4	4	13530
1e-5	5	7600
1e-6	6	4129
1e-7	7	2199
1e-8	8	1693
1e-9	9	965
1e-10	10	538
1e-11	11	324
1e-12	12	268
1e-13	13	170
1e-14	14	130
1e-15	15	121
1e-16	16	86
1e-17	17	67
1e-18	18	65
1e-19	19	47
1e-20	20	47
1e-21	21	39
1e-22	22	34
1e-23	23	33
1e-24	24	27
1e-25	25	26
1e-26	26	22
1e-27	27	21
1e-28	28	18
1e-29	29	12
1e-30	30	12
1e-31	31	10
1e-32	32	10
1e-33	33	10
1e-34	34	10
1e-35	35	8
1e-36	36	8
1e-37	37	7
1e-38	38	7
1e-39	39	7
1e-40	40	7
1e-41	41	6
1e-42	42	6
1e-43	43	5
1e-44	44	4
1e-45	45	4
1e-46	46	4
1e-47	47	4
1e-48	48	4
1e-49	49	4
1e-50	50	4
1e-51	51	4
1e-52	52	4
1e-53	53	4
1e-54	54	4
1e-55	55	4
1e-56	56	4
1e-57	57	4
1e-58	58	4
1e-59	59	3
1e-60	60	3
1e-61	61	3
1e-62	62	3
1e-63	63	3
1e-64	64	3
1e-65	65	3
1e-66	66	2
1e-67	67	1
1e-68	68	1
1e-69	69	1
1e-70	70	1
1e-71	71	1
1e-72	72	1
1e-73	73	1
1e-74	74	1
1e-75	75	1
1e-76	76	1
1e-77	77	1
1e-78	78	1
1e-79	79	1
1e-80	80	1
1e-81	81	1
1e-82	82	1
1e-83	83	1
1e-84	84	1
1e-85	85	1
1e-86	86	1
1e-87	87	1
