qvalue_cutoff	neg_log10_qvalue_threshold	n_peaks_passing
1e-1	1	14711
1e-2	2	14711
1e-3	3	9492
1e-4	4	5258
1e-5	5	1784
1e-6	6	845
1e-7	7	363
1e-8	8	143
1e-9	9	66
1e-10	10	21
1e-11	11	11
1e-12	12	8
1e-13	13	2
1e-14	14	1
1e-15	15	1
