qvalue_cutoff	neg_log10_qvalue_threshold	n_peaks_passing
1e-1	1	13124
1e-2	2	13124
1e-3	3	6206
1e-4	4	3304
1e-5	5	1685
1e-6	6	848
1e-7	7	425
1e-8	8	199
1e-9	9	93
1e-10	10	56
1e-11	11	30
1e-12	12	25
1e-13	13	20
1e-14	14	11
1e-15	15	9
1e-16	16	8
1e-17	17	6
1e-18	18	6
1e-19	19	5
1e-20	20	4
1e-21	21	4
1e-22	22	2
1e-23	23	2
1e-24	24	1
1e-25	25	1
