qvalue_cutoff	neg_log10_qvalue_threshold	n_peaks_passing
1e-1	1	9177
1e-2	2	9177
1e-3	3	4006
1e-4	4	2036
1e-5	5	926
1e-6	6	403
1e-7	7	174
1e-8	8	72
1e-9	9	31
1e-10	10	15
1e-11	11	8
1e-12	12	3
1e-13	13	1
1e-14	14	1
