qvalue_cutoff	neg_log10_qvalue_threshold	n_peaks_passing
1e-1	1	94102
1e-2	2	94102
1e-3	3	62948
1e-4	4	40813
1e-5	5	24838
1e-6	6	16085
1e-7	7	9937
1e-8	8	6079
1e-9	9	3727
1e-10	10	3020
1e-11	11	1884
1e-12	12	1247
1e-13	13	852
1e-14	14	697
1e-15	15	484
1e-16	16	361
1e-17	17	303
1e-18	18	233
1e-19	19	177
1e-20	20	160
1e-21	21	129
1e-22	22	115
1e-23	23	93
1e-24	24	83
1e-25	25	76
1e-26	26	66
1e-27	27	65
1e-28	28	56
1e-29	29	54
1e-30	30	49
1e-31	31	44
1e-32	32	41
1e-33	33	37
1e-34	34	36
1e-35	35	31
1e-36	36	28
1e-37	37	26
1e-38	38	19
1e-39	39	19
1e-40	40	15
1e-41	41	10
1e-42	42	10
1e-43	43	9
1e-44	44	6
1e-45	45	5
1e-46	46	5
1e-47	47	5
1e-48	48	5
1e-49	49	2
1e-50	50	2
1e-51	51	2
1e-52	52	2
1e-53	53	2
1e-54	54	2
1e-55	55	2
1e-56	56	2
1e-57	57	2
1e-58	58	2
1e-59	59	2
1e-60	60	2
1e-61	61	2
1e-62	62	2
1e-63	63	2
1e-64	64	2
1e-65	65	2
1e-66	66	2
1e-67	67	2
1e-68	68	1
1e-69	69	1
1e-70	70	1
1e-71	71	1
1e-72	72	1
1e-73	73	1
1e-74	74	1
1e-75	75	1
1e-76	76	1
1e-77	77	1
1e-78	78	1
1e-79	79	1
1e-80	80	1
1e-81	81	1
1e-82	82	1
1e-83	83	1
1e-84	84	1
1e-85	85	1
1e-86	86	1
