qvalue_cutoff	neg_log10_qvalue_threshold	n_peaks_passing
1e-1	1	131978
1e-2	2	131978
1e-3	3	96529
1e-4	4	70483
1e-5	5	49141
1e-6	6	35618
1e-7	7	25546
1e-8	8	18477
1e-9	9	13556
1e-10	10	11520
1e-11	11	9085
1e-12	12	6973
1e-13	13	5451
1e-14	14	4860
1e-15	15	4030
1e-16	16	3347
1e-17	17	3039
1e-18	18	2595
1e-19	19	2277
1e-20	20	2111
1e-21	21	1870
1e-22	22	1778
1e-23	23	1603
1e-24	24	1455
1e-25	25	1391
1e-26	26	1260
1e-27	27	1182
1e-28	28	1089
1e-29	29	1028
1e-30	30	985
1e-31	31	923
1e-32	32	882
1e-33	33	827
1e-34	34	791
1e-35	35	762
1e-36	36	721
1e-37	37	684
1e-38	38	651
1e-39	39	626
1e-40	40	582
1e-41	41	561
1e-42	42	534
1e-43	43	496
1e-44	44	475
1e-45	45	461
1e-46	46	440
1e-47	47	424
1e-48	48	402
1e-49	49	385
1e-50	50	372
1e-51	51	359
1e-52	52	346
1e-53	53	332
1e-54	54	321
1e-55	55	314
1e-56	56	306
1e-57	57	291
1e-58	58	280
1e-59	59	270
1e-60	60	261
1e-61	61	251
1e-62	62	243
1e-63	63	235
1e-64	64	229
1e-65	65	223
1e-66	66	217
1e-67	67	209
1e-68	68	202
1e-69	69	190
1e-70	70	185
1e-71	71	180
1e-72	72	177
1e-73	73	173
1e-74	74	172
1e-75	75	164
1e-76	76	159
1e-77	77	152
1e-78	78	149
1e-79	79	144
1e-80	80	142
1e-81	81	137
1e-82	82	135
1e-83	83	131
1e-84	84	130
1e-85	85	120
1e-86	86	116
1e-87	87	113
1e-88	88	110
1e-89	89	105
1e-90	90	103
1e-91	91	101
1e-92	92	100
1e-93	93	97
1e-94	94	97
1e-95	95	96
1e-96	96	91
1e-97	97	90
1e-98	98	87
1e-99	99	87
1e-100	100	84
1e-101	101	83
1e-102	102	80
1e-103	103	78
1e-104	104	76
1e-105	105	75
1e-106	106	74
1e-107	107	74
1e-108	108	69
1e-109	109	68
1e-110	110	67
1e-111	111	66
1e-112	112	65
1e-113	113	63
1e-114	114	60
1e-115	115	58
1e-116	116	55
1e-117	117	52
1e-118	118	52
1e-119	119	49
1e-120	120	49
1e-121	121	49
1e-122	122	47
1e-123	123	46
1e-124	124	45
1e-125	125	45
1e-126	126	44
1e-127	127	44
1e-128	128	43
1e-129	129	43
1e-130	130	43
1e-131	131	43
1e-132	132	42
1e-133	133	40
1e-134	134	40
1e-135	135	40
1e-136	136	40
1e-137	137	39
1e-138	138	38
1e-139	139	38
1e-140	140	38
1e-141	141	37
1e-142	142	36
1e-143	143	36
1e-144	144	33
1e-145	145	32
1e-146	146	32
1e-147	147	32
1e-148	148	31
1e-149	149	30
1e-150	150	30
1e-151	151	30
1e-152	152	29
1e-153	153	29
1e-154	154	29
1e-155	155	26
1e-156	156	26
1e-157	157	24
1e-158	158	24
1e-159	159	23
1e-160	160	23
1e-161	161	22
1e-162	162	22
1e-163	163	22
1e-164	164	21
1e-165	165	21
1e-166	166	21
1e-167	167	21
1e-168	168	21
1e-169	169	20
1e-170	170	20
1e-171	171	20
1e-172	172	19
1e-173	173	17
1e-174	174	17
1e-175	175	17
1e-176	176	17
1e-177	177	17
1e-178	178	17
1e-179	179	17
1e-180	180	17
1e-181	181	17
1e-182	182	17
1e-183	183	17
1e-184	184	14
1e-185	185	14
1e-186	186	13
1e-187	187	13
1e-188	188	12
1e-189	189	12
1e-190	190	11
1e-191	191	11
1e-192	192	10
1e-193	193	10
1e-194	194	10
1e-195	195	10
1e-196	196	10
1e-197	197	10
1e-198	198	10
1e-199	199	10
1e-200	200	10
1e-201	201	10
1e-202	202	10
1e-203	203	10
1e-204	204	9
1e-205	205	9
1e-206	206	9
1e-207	207	9
1e-208	208	9
1e-209	209	9
1e-210	210	9
1e-211	211	9
1e-212	212	9
1e-213	213	9
1e-214	214	7
1e-215	215	7
1e-216	216	7
1e-217	217	7
1e-218	218	7
1e-219	219	6
1e-220	220	6
1e-221	221	6
1e-222	222	6
1e-223	223	6
1e-224	224	6
1e-225	225	6
1e-226	226	6
1e-227	227	6
1e-228	228	6
1e-229	229	6
1e-230	230	6
1e-231	231	6
1e-232	232	6
1e-233	233	5
1e-234	234	5
1e-235	235	5
1e-236	236	5
1e-237	237	5
1e-238	238	5
1e-239	239	5
1e-240	240	5
1e-241	241	5
1e-242	242	5
1e-243	243	5
1e-244	244	5
1e-245	245	5
1e-246	246	5
1e-247	247	5
1e-248	248	5
1e-249	249	5
1e-250	250	5
1e-251	251	5
1e-252	252	5
1e-253	253	5
1e-254	254	5
1e-255	255	5
1e-256	256	5
1e-257	257	5
1e-258	258	5
1e-259	259	5
1e-260	260	5
1e-261	261	5
1e-262	262	5
1e-263	263	5
1e-264	264	5
1e-265	265	5
1e-266	266	5
1e-267	267	5
1e-268	268	5
1e-269	269	5
1e-270	270	5
1e-271	271	5
1e-272	272	4
1e-273	273	4
1e-274	274	4
1e-275	275	4
1e-276	276	4
1e-277	277	4
1e-278	278	4
1e-279	279	4
1e-280	280	4
1e-281	281	4
1e-282	282	4
1e-283	283	4
1e-284	284	4
1e-285	285	3
1e-286	286	3
1e-287	287	3
1e-288	288	3
1e-289	289	3
1e-290	290	3
1e-291	291	3
1e-292	292	3
1e-293	293	3
1e-294	294	3
1e-295	295	3
1e-296	296	3
1e-297	297	3
1e-298	298	3
1e-299	299	3
1e-300	300	3
1e-301	301	3
1e-302	302	3
1e-303	303	3
1e-304	304	3
1e-305	305	3
1e-306	306	3
1e-307	307	3
1e-308	308	3
1e-309	309	3
1e-310	310	3
1e-311	311	3
1e-312	312	3
1e-313	313	3
1e-314	314	3
1e-315	315	3
1e-316	316	3
1e-317	317	3
