qvalue_cutoff	neg_log10_qvalue_threshold	n_peaks_passing
1e-318	318	3
1e-319	319	3
1e-320	320	3
1e-321	321	3
1e-322	322	3
1e-323	323	3
1e-324	324	3
1e-325	325	3
1e-326	326	3
1e-327	327	3
1e-328	328	3
1e-329	329	3
1e-330	330	3
1e-331	331	3
1e-332	332	3
1e-333	333	3
1e-334	334	3
1e-335	335	3
1e-336	336	3
1e-337	337	3
1e-338	338	3
1e-339	339	3
1e-340	340	3
1e-341	341	3
1e-342	342	3
1e-343	343	3
1e-344	344	3
1e-345	345	3
1e-346	346	3
1e-347	347	3
1e-348	348	2
1e-349	349	2
1e-350	350	2
1e-351	351	2
1e-352	352	2
1e-353	353	2
1e-354	354	2
1e-355	355	1
1e-356	356	1
1e-357	357	1
1e-358	358	1
1e-359	359	1
1e-360	360	1
1e-361	361	1
1e-362	362	1
1e-363	363	1
1e-364	364	1
1e-365	365	1
1e-366	366	1
1e-367	367	1
1e-368	368	1
1e-369	369	1
1e-370	370	1
1e-371	371	1
1e-372	372	1
1e-373	373	1
1e-374	374	1
1e-375	375	1
1e-376	376	1
1e-377	377	1
1e-378	378	1
1e-379	379	1
1e-380	380	1
1e-381	381	1
1e-382	382	1
1e-383	383	1
1e-384	384	1
1e-385	385	1
1e-386	386	1
1e-387	387	1
1e-388	388	1
1e-389	389	1
1e-390	390	1
1e-391	391	1
1e-392	392	1
1e-393	393	1
1e-394	394	1
1e-395	395	1
1e-396	396	1
1e-397	397	1
1e-398	398	1
1e-399	399	1
1e-400	400	1
1e-401	401	1
1e-402	402	1
1e-403	403	1
1e-404	404	1
1e-405	405	1
1e-406	406	1
1e-407	407	1
