qvalue_cutoff	neg_log10_qvalue_threshold	n_peaks_passing
1e-1	1	83851
1e-2	2	83851
1e-3	3	56859
1e-4	4	37396
1e-5	5	23336
1e-6	6	14524
1e-7	7	8908
1e-8	8	5497
1e-9	9	3309
1e-10	10	1988
1e-11	11	1638
1e-12	12	1030
1e-13	13	674
1e-14	14	436
1e-15	15	362
1e-16	16	246
1e-17	17	187
1e-18	18	155
1e-19	19	105
1e-20	20	87
1e-21	21	76
1e-22	22	62
1e-23	23	47
1e-24	24	42
1e-25	25	36
1e-26	26	29
1e-27	27	25
1e-28	28	21
1e-29	29	19
1e-30	30	16
1e-31	31	15
1e-32	32	8
1e-33	33	7
1e-34	34	7
1e-35	35	7
1e-36	36	6
1e-37	37	6
1e-38	38	6
1e-39	39	6
1e-40	40	6
1e-41	41	5
1e-42	42	5
1e-43	43	4
1e-44	44	4
1e-45	45	4
1e-46	46	4
1e-47	47	4
1e-48	48	4
1e-49	49	3
1e-50	50	3
1e-51	51	2
1e-52	52	2
1e-53	53	2
1e-54	54	2
1e-55	55	2
1e-56	56	2
1e-57	57	2
1e-58	58	1
1e-59	59	1
1e-60	60	1
1e-61	61	1
1e-62	62	1
1e-63	63	1
1e-64	64	1
1e-65	65	1
1e-66	66	1
1e-67	67	1
1e-68	68	1
1e-69	69	1
1e-70	70	1
1e-71	71	1
