qvalue_cutoff	neg_log10_qvalue_threshold	n_peaks_passing
1e-1	1	11688
1e-2	2	11688
1e-3	3	7240
1e-4	4	3890
1e-5	5	1999
1e-6	6	1048
1e-7	7	558
1e-8	8	267
1e-9	9	133
1e-10	10	68
1e-11	11	36
1e-12	12	16
1e-13	13	5
