peak_set	n_peaks	n_above_inflection	pct_retained
early_Runx1.merged.macs2_peaks	9177	1002	10.918600849951
early_Runx3.merged.macs2_peaks	7697	619	8.0420943224633
late_Runx1.merged.macs2_peaks	11688	1178	10.07871321013
late_Runx3.merged.macs2_peaks	13124	921	7.01767753733618
memory_Runx1.merged.macs2_peaks	14711	1728	11.7463122833254
memory_Runx3.merged.macs2_peaks	16936	1218	7.19178082191781
shCd19_Runx1.merged.macs2_peaks	83851	3305	3.94151530691345
shCd19_Runx3.merged.macs2_peaks	131978	2887	2.18748579308673
shRunx3_Runx1.merged.macs2_peaks	94102	3576	3.80013177190708
shRunx3_Runx3.merged.macs2_peaks	109974	2852	2.59334024405769
terminal_Runx1.merged.macs2_peaks	57451	3243	5.64481036013298
terminal_Runx3.merged.macs2_peaks	39934	1206	3.01998297190364
