qvalue_cutoff	neg_log10_qvalue_threshold	n_peaks_passing
1e-1	1	109974
1e-2	2	109974
1e-3	3	74578
1e-4	4	51260
1e-5	5	34786
1e-6	6	23305
1e-7	7	15274
1e-8	8	9987
1e-9	9	6521
1e-10	10	4374
1e-11	11	3025
1e-12	12	2482
1e-13	13	1719
1e-14	14	1241
1e-15	15	943
1e-16	16	804
1e-17	17	611
1e-18	18	490
1e-19	19	445
1e-20	20	365
1e-21	21	308
1e-22	22	287
1e-23	23	254
1e-24	24	241
1e-25	25	207
1e-26	26	178
1e-27	27	171
1e-28	28	146
1e-29	29	129
1e-30	30	117
1e-31	31	104
1e-32	32	96
1e-33	33	90
1e-34	34	82
1e-35	35	75
1e-36	36	70
1e-37	37	67
1e-38	38	59
1e-39	39	55
1e-40	40	51
1e-41	41	50
1e-42	42	47
1e-43	43	46
1e-44	44	40
1e-45	45	34
1e-46	46	33
1e-47	47	31
1e-48	48	31
1e-49	49	28
1e-50	50	28
1e-51	51	26
1e-52	52	26
1e-53	53	24
1e-54	54	23
1e-55	55	22
1e-56	56	21
1e-57	57	20
1e-58	58	19
1e-59	59	17
1e-60	60	16
1e-61	61	16
1e-62	62	15
1e-63	63	15
1e-64	64	15
1e-65	65	14
1e-66	66	14
1e-67	67	14
1e-68	68	13
1e-69	69	13
1e-70	70	13
1e-71	71	12
1e-72	72	10
1e-73	73	9
1e-74	74	9
1e-75	75	9
1e-76	76	9
1e-77	77	9
1e-78	78	9
1e-79	79	9
1e-80	80	9
1e-81	81	8
1e-82	82	8
1e-83	83	8
1e-84	84	8
1e-85	85	7
1e-86	86	5
1e-87	87	4
1e-88	88	4
1e-89	89	4
1e-90	90	4
1e-91	91	4
1e-92	92	4
1e-93	93	4
1e-94	94	3
1e-95	95	3
1e-96	96	2
1e-97	97	2
1e-98	98	1
1e-99	99	1
1e-100	100	1
1e-101	101	1
1e-102	102	1
1e-103	103	1
1e-104	104	1
1e-105	105	1
1e-106	106	1
1e-107	107	1
1e-108	108	1
1e-109	109	1
1e-110	110	1
1e-111	111	1
1e-112	112	1
1e-113	113	1
1e-114	114	1
1e-115	115	1
1e-116	116	1
1e-117	117	1
1e-118	118	1
1e-119	119	1
1e-120	120	1
1e-121	121	1
1e-122	122	1
1e-123	123	1
1e-124	124	1
1e-125	125	1
